uniqueid,forecasting,tool_tip,node_name,Category,delta,08-2010,Monthly,,,,,,,,,,,,,,,,
Nissan_Murano_Sydney_Television_7Mate_SYD_Metropolitan_Television,,Sydney_Television_7Mate_SYD,Sydney_Television_7Mate_SYD,Client Data:Competitor Sales and Marketing:All Marketing:Outback Competitors:Nissan_Murano:Sydney:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nissan_Murano_Sydney_Television_ONESYD_Metropolitan_Television,,Sydney_Television_ONESYD,Sydney_Television_ONESYD,Client Data:Competitor Sales and Marketing:All Marketing:Outback Competitors:Nissan_Murano:Sydney:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nissan_Murano-Retail_Sydney_Television_7Mate_SYD_Metropolitan_Television,,Retail_Sydney_Television_7Mate_SYD,Retail_Sydney_Television_7Mate_SYD,Client Data:Competitor Sales and Marketing:All Marketing:Outback Competitors:Nissan_Murano:Sydney:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nissan_Murano-Retail_Sydney_Television_ONESYD_Metropolitan_Television,,Retail_Sydney_Television_ONESYD,Retail_Sydney_Television_ONESYD,Client Data:Competitor Sales and Marketing:All Marketing:Outback Competitors:Nissan_Murano:Sydney:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nissan_Murano_Sydney_Television_GEM_SYD_Metropolitan_Television,,Sydney_Television_GEM_SYD,Sydney_Television_GEM_SYD,Client Data:Competitor Sales and Marketing:All Marketing:Outback Competitors:Nissan_Murano:Sydney:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nissan_Murano_Sydney_Television_GO_SYD_Metropolitan_Television,,Sydney_Television_GO_SYD,Sydney_Television_GO_SYD,Client Data:Competitor Sales and Marketing:All Marketing:Outback Competitors:Nissan_Murano:Sydney:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nissan_Murano_Sydney_Television_TEN10_Metropolitan_Television,,Sydney_Television_TEN10,Sydney_Television_TEN10,Client Data:Competitor Sales and Marketing:All Marketing:Outback Competitors:Nissan_Murano:Sydney:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nissan_Murano-Retail_Sydney_Television_GO_SYD_Metropolitan_Television,,Retail_Sydney_Television_GO_SYD,Retail_Sydney_Television_GO_SYD,Client Data:Competitor Sales and Marketing:All Marketing:Outback Competitors:Nissan_Murano:Sydney:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toyota_Kluger_AWD_South_Australia_Advertiser-The_Adelaide_Magazine_Magazines,,AWD_South_Australia_Advertiser_The_Adelaide_Magazine,AWD_South_Australia_Advertiser_The_Adelaide_Magazine,Client Data:Competitor Sales and Marketing:All Marketing:Outback Competitors:Toyota_Kluger:South_:Magazines,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toyota_Kluger_AWD-Retail_Adelaide_Television_NWS9_Metropolitan_Television,,AWDRetail_Adelaide_Television_NWS9,AWDRetail_Adelaide_Television_NWS9,Client Data:Competitor Sales and Marketing:All Marketing:Outback Competitors:Toyota_Kluger:Adelaide:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Toyota_Kluger_AWD-Retail_Adelaide_Television_ADS10_Metropolitan_Television,,AWDRetail_Adelaide_Television_ADS10,AWDRetail_Adelaide_Television_ADS10,Client Data:Competitor Sales and Marketing:All Marketing:Outback Competitors:Toyota_Kluger:Adelaide:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Toyota_Kluger_AWD_Adelaide_Television_NWS9_Metropolitan_Television,,AWD_Adelaide_Television_NWS9,AWD_Adelaide_Television_NWS9,Client Data:Competitor Sales and Marketing:All Marketing:Outback Competitors:Toyota_Kluger:Adelaide:Television,0.5,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
Toyota_Kluger_AWD_Adelaide_Television_ADS10_Metropolitan_Television,,AWD_Adelaide_Television_ADS10,AWD_Adelaide_Television_ADS10,Client Data:Competitor Sales and Marketing:All Marketing:Outback Competitors:Toyota_Kluger:Adelaide:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toyota_Kluger_AWD-Retail_Adelaide_Television_SAS7_Metropolitan_Television,,AWDRetail_Adelaide_Television_SAS7,AWDRetail_Adelaide_Television_SAS7,Client Data:Competitor Sales and Marketing:All Marketing:Outback Competitors:Toyota_Kluger:Adelaide:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
Toyota_Kluger_AWD-Retail_Adelaide_Television_SBSADL_Metropolitan_Television,,AWDRetail_Adelaide_Television_SBSADL,AWDRetail_Adelaide_Television_SBSADL,Client Data:Competitor Sales and Marketing:All Marketing:Outback Competitors:Toyota_Kluger:Adelaide:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Toyota_Kluger_AWD_Adelaide_Television_GEM_ADE_Metropolitan_Television,,AWD_Adelaide_Television_GEM_ADE,AWD_Adelaide_Television_GEM_ADE,Client Data:Competitor Sales and Marketing:All Marketing:Outback Competitors:Toyota_Kluger:Adelaide:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toyota_Kluger_AWD_Adelaide_Television_SBSADL_Metropolitan_Television,,AWD_Adelaide_Television_SBSADL,AWD_Adelaide_Television_SBSADL,Client Data:Competitor Sales and Marketing:All Marketing:Outback Competitors:Toyota_Kluger:Adelaide:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toyota_Kluger_AWD_Adelaide_Television_SAS7_Metropolitan_Television,,AWD_Adelaide_Television_SAS7,AWD_Adelaide_Television_SAS7,Client Data:Competitor Sales and Marketing:All Marketing:Outback Competitors:Toyota_Kluger:Adelaide:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toyota_Kluger_AWD-Retail_Perth_Television_GO_PER_Metropolitan_Television,,AWDRetail_Perth_Television_GO_PER,AWDRetail_Perth_Television_GO_PER,Client Data:Competitor Sales and Marketing:All Marketing:Outback Competitors:Toyota_Kluger:Perth:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Toyota_Kluger_AWD_Perth_Television_SBSPER_Metropolitan_Television,,AWD_Perth_Television_SBSPER,AWD_Perth_Television_SBSPER,Client Data:Competitor Sales and Marketing:All Marketing:Outback Competitors:Toyota_Kluger:Perth:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toyota_Kluger_AWD_Perth_Television_GEM_PER_Metropolitan_Television,,AWD_Perth_Television_GEM_PER,AWD_Perth_Television_GEM_PER,Client Data:Competitor Sales and Marketing:All Marketing:Outback Competitors:Toyota_Kluger:Perth:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toyota_Kluger_AWD-Retail_Perth_Television_SBSPER_Metropolitan_Television,,AWDRetail_Perth_Television_SBSPER,AWDRetail_Perth_Television_SBSPER,Client Data:Competitor Sales and Marketing:All Marketing:Outback Competitors:Toyota_Kluger:Perth:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Toyota_Kluger_AWD_Perth_Television_7Mate_PER_Metropolitan_Television,,AWD_Perth_Television_7Mate_PER,AWD_Perth_Television_7Mate_PER,Client Data:Competitor Sales and Marketing:All Marketing:Outback Competitors:Toyota_Kluger:Perth:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toyota_Kluger_AWD-Retail_Perth_Television_7Mate_PER_Metropolitan_Television,,AWDRetail_Perth_Television_7Mate_PER,AWDRetail_Perth_Television_7Mate_PER,Client Data:Competitor Sales and Marketing:All Marketing:Outback Competitors:Toyota_Kluger:Perth:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Toyota_Kluger_AWD_Perth_Television_TVW7_Metropolitan_Television,,AWD_Perth_Television_TVW7,AWD_Perth_Television_TVW7,Client Data:Competitor Sales and Marketing:All Marketing:Outback Competitors:Toyota_Kluger:Perth:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toyota_Kluger_AWD_Perth_Television_7TWO_PER_Metropolitan_Television,,AWD_Perth_Television_7TWO_PER,AWD_Perth_Television_7TWO_PER,Client Data:Competitor Sales and Marketing:All Marketing:Outback Competitors:Toyota_Kluger:Perth:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toyota_Kluger_AWD-Retail_Perth_Television_NEW10_Metropolitan_Television,,AWDRetail_Perth_Television_NEW10,AWDRetail_Perth_Television_NEW10,Client Data:Competitor Sales and Marketing:All Marketing:Outback Competitors:Toyota_Kluger:Perth:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Toyota_Kluger_AWD_Perth_Television_STW9_Metropolitan_Television,,AWD_Perth_Television_STW9,AWD_Perth_Television_STW9,Client Data:Competitor Sales and Marketing:All Marketing:Outback Competitors:Toyota_Kluger:Perth:Television,0.5,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
Toyota_Kluger_AWD-Retail_Perth_Television_STW9_Metropolitan_Television,,AWDRetail_Perth_Television_STW9,AWDRetail_Perth_Television_STW9,Client Data:Competitor Sales and Marketing:All Marketing:Outback Competitors:Toyota_Kluger:Perth:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Toyota_Kluger_AWD-Retail_Perth_Television_7TWO_PER_Metropolitan_Television,,AWDRetail_Perth_Television_7TWO_PER,AWDRetail_Perth_Television_7TWO_PER,Client Data:Competitor Sales and Marketing:All Marketing:Outback Competitors:Toyota_Kluger:Perth:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Toyota_Kluger_AWD_Perth_Television_NEW10_Metropolitan_Television,,AWD_Perth_Television_NEW10,AWD_Perth_Television_NEW10,Client Data:Competitor Sales and Marketing:All Marketing:Outback Competitors:Toyota_Kluger:Perth:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toyota_Kluger_AWD-Retail_Perth_Television_TVW7_Metropolitan_Television,,AWDRetail_Perth_Television_TVW7,AWDRetail_Perth_Television_TVW7,Client Data:Competitor Sales and Marketing:All Marketing:Outback Competitors:Toyota_Kluger:Perth:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
Toyota_Kluger_AWD-Retail_Brisbane_Television_GO_BRIS_Metropolitan_Television,,AWDRetail_Brisbane_Television_GO_BRIS,AWDRetail_Brisbane_Television_GO_BRIS,Client Data:Competitor Sales and Marketing:All Marketing:Outback Competitors:Toyota_Kluger:Brisbane:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Toyota_Kluger_AWD_Brisbane_Television_7TWO_BRIS_Metropolitan_Television,,AWD_Brisbane_Television_7TWO_BRIS,AWD_Brisbane_Television_7TWO_BRIS,Client Data:Competitor Sales and Marketing:All Marketing:Outback Competitors:Toyota_Kluger:Brisbane:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toyota_Kluger_AWD_Brisbane_Television_QTQ9_Metropolitan_Television,,AWD_Brisbane_Television_QTQ9,AWD_Brisbane_Television_QTQ9,Client Data:Competitor Sales and Marketing:All Marketing:Outback Competitors:Toyota_Kluger:Brisbane:Television,0.5,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0
Toyota_Kluger_AWD-Retail_Brisbane_Television_SBSBRI_Metropolitan_Television,,AWDRetail_Brisbane_Television_SBSBRI,AWDRetail_Brisbane_Television_SBSBRI,Client Data:Competitor Sales and Marketing:All Marketing:Outback Competitors:Toyota_Kluger:Brisbane:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Toyota_Kluger_AWD-Retail_Brisbane_Television_BTQ7_Metropolitan_Television,,AWDRetail_Brisbane_Television_BTQ7,AWDRetail_Brisbane_Television_BTQ7,Client Data:Competitor Sales and Marketing:All Marketing:Outback Competitors:Toyota_Kluger:Brisbane:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
Toyota_Kluger_AWD_Brisbane_Television_GEM_BRIS_Metropolitan_Television,,AWD_Brisbane_Television_GEM_BRIS,AWD_Brisbane_Television_GEM_BRIS,Client Data:Competitor Sales and Marketing:All Marketing:Outback Competitors:Toyota_Kluger:Brisbane:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toyota_Kluger_AWD_Brisbane_Television_SBSBRI_Metropolitan_Television,,AWD_Brisbane_Television_SBSBRI,AWD_Brisbane_Television_SBSBRI,Client Data:Competitor Sales and Marketing:All Marketing:Outback Competitors:Toyota_Kluger:Brisbane:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toyota_Kluger_AWD_Brisbane_Television_TVQ10_Metropolitan_Television,,AWD_Brisbane_Television_TVQ10,AWD_Brisbane_Television_TVQ10,Client Data:Competitor Sales and Marketing:All Marketing:Outback Competitors:Toyota_Kluger:Brisbane:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toyota_Kluger_AWD_Brisbane_Television_BTQ7_Metropolitan_Television,,AWD_Brisbane_Television_BTQ7,AWD_Brisbane_Television_BTQ7,Client Data:Competitor Sales and Marketing:All Marketing:Outback Competitors:Toyota_Kluger:Brisbane:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toyota_Kluger_AWD-Retail_Brisbane_Television_TVQ10_Metropolitan_Television,,AWDRetail_Brisbane_Television_TVQ10,AWDRetail_Brisbane_Television_TVQ10,Client Data:Competitor Sales and Marketing:All Marketing:Outback Competitors:Toyota_Kluger:Brisbane:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Toyota_Kluger_AWD-Retail_Brisbane_Television_Eleven_BRIS_Metropolitan_Television,,AWDRetail_Brisbane_Television_Eleven_BRIS,AWDRetail_Brisbane_Television_Eleven_BRIS,Client Data:Competitor Sales and Marketing:All Marketing:Outback Competitors:Toyota_Kluger:Brisbane:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Toyota_Kluger_AWD-Retail_Brisbane_Television_7Mate_BRIS_Metropolitan_Television,,AWDRetail_Brisbane_Television_7Mate_BRIS,AWDRetail_Brisbane_Television_7Mate_BRIS,Client Data:Competitor Sales and Marketing:All Marketing:Outback Competitors:Toyota_Kluger:Brisbane:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Toyota_Kluger_AWD-Retail_Brisbane_Television_QTQ9_Metropolitan_Television,,AWDRetail_Brisbane_Television_QTQ9,AWDRetail_Brisbane_Television_QTQ9,Client Data:Competitor Sales and Marketing:All Marketing:Outback Competitors:Toyota_Kluger:Brisbane:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Toyota_Kluger_AWD_Brisbane_Television_7Mate_BRIS_Metropolitan_Television,,AWD_Brisbane_Television_7Mate_BRIS,AWD_Brisbane_Television_7Mate_BRIS,Client Data:Competitor Sales and Marketing:All Marketing:Outback Competitors:Toyota_Kluger:Brisbane:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toyota_Kluger_AWD-Retail_Brisbane_Television_7TWO_BRIS_Metropolitan_Television,,AWDRetail_Brisbane_Television_7TWO_BRIS,AWDRetail_Brisbane_Television_7TWO_BRIS,Client Data:Competitor Sales and Marketing:All Marketing:Outback Competitors:Toyota_Kluger:Brisbane:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Toyota_Kluger_AWD_Melbourne_Television_7Mate_MELB_Metropolitan_Television,,AWD_Melbourne_Television_7Mate_MELB,AWD_Melbourne_Television_7Mate_MELB,Client Data:Competitor Sales and Marketing:All Marketing:Outback Competitors:Toyota_Kluger:Melbourne:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toyota_Kluger_AWD_Melbourne_Television_GTV9_Metropolitan_Television,,AWD_Melbourne_Television_GTV9,AWD_Melbourne_Television_GTV9,Client Data:Competitor Sales and Marketing:All Marketing:Outback Competitors:Toyota_Kluger:Melbourne:Television,0.5,0,0,0,0,0,0,0,0,0,8,9,0,0,0,0,0,0,0
Toyota_Kluger_AWD_Melbourne_Television_ONEMEL_Metropolitan_Television,,AWD_Melbourne_Television_ONEMEL,AWD_Melbourne_Television_ONEMEL,Client Data:Competitor Sales and Marketing:All Marketing:Outback Competitors:Toyota_Kluger:Melbourne:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toyota_Kluger_AWD_Melbourne_Television_ATV10_Metropolitan_Television,,AWD_Melbourne_Television_ATV10,AWD_Melbourne_Television_ATV10,Client Data:Competitor Sales and Marketing:All Marketing:Outback Competitors:Toyota_Kluger:Melbourne:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toyota_Kluger_AWD-Retail_Melbourne_Television_Eleven_MEL_Metropolitan_Television,,AWDRetail_Melbourne_Television_Eleven_MEL,AWDRetail_Melbourne_Television_Eleven_MEL,Client Data:Competitor Sales and Marketing:All Marketing:Outback Competitors:Toyota_Kluger:Melbourne:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Toyota_Kluger_AWD-Retail_Melbourne_Television_ATV10_Metropolitan_Television,,AWDRetail_Melbourne_Television_ATV10,AWDRetail_Melbourne_Television_ATV10,Client Data:Competitor Sales and Marketing:All Marketing:Outback Competitors:Toyota_Kluger:Melbourne:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Toyota_Kluger_AWD-Retail_Melbourne_Television_GO_MELB_Metropolitan_Television,,AWDRetail_Melbourne_Television_GO_MELB,AWDRetail_Melbourne_Television_GO_MELB,Client Data:Competitor Sales and Marketing:All Marketing:Outback Competitors:Toyota_Kluger:Melbourne:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Toyota_Kluger_AWD_Melbourne_Television_HSV7_Metropolitan_Television,,AWD_Melbourne_Television_HSV7,AWD_Melbourne_Television_HSV7,Client Data:Competitor Sales and Marketing:All Marketing:Outback Competitors:Toyota_Kluger:Melbourne:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toyota_Kluger_AWD-Retail_Melbourne_Television_7Mate_MELB_Metropolitan_Television,,AWDRetail_Melbourne_Television_7Mate_MELB,AWDRetail_Melbourne_Television_7Mate_MELB,Client Data:Competitor Sales and Marketing:All Marketing:Outback Competitors:Toyota_Kluger:Melbourne:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Toyota_Kluger_AWD_Melbourne_Television_7TWO_MELB_Metropolitan_Television,,AWD_Melbourne_Television_7TWO_MELB,AWD_Melbourne_Television_7TWO_MELB,Client Data:Competitor Sales and Marketing:All Marketing:Outback Competitors:Toyota_Kluger:Melbourne:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toyota_Kluger_AWD-Retail_Melbourne_Television_SBSMEL_Metropolitan_Television,,AWDRetail_Melbourne_Television_SBSMEL,AWDRetail_Melbourne_Television_SBSMEL,Client Data:Competitor Sales and Marketing:All Marketing:Outback Competitors:Toyota_Kluger:Melbourne:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Toyota_Kluger_AWD-Retail_Melbourne_Television_7TWO_MELB_Metropolitan_Television,,AWDRetail_Melbourne_Television_7TWO_MELB,AWDRetail_Melbourne_Television_7TWO_MELB,Client Data:Competitor Sales and Marketing:All Marketing:Outback Competitors:Toyota_Kluger:Melbourne:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Toyota_Kluger_AWD_Melbourne_Television_SBSMEL_Metropolitan_Television,,AWD_Melbourne_Television_SBSMEL,AWD_Melbourne_Television_SBSMEL,Client Data:Competitor Sales and Marketing:All Marketing:Outback Competitors:Toyota_Kluger:Melbourne:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toyota_Kluger_AWD-Retail_Melbourne_Television_GEM_MELB_Metropolitan_Television,,AWDRetail_Melbourne_Television_GEM_MELB,AWDRetail_Melbourne_Television_GEM_MELB,Client Data:Competitor Sales and Marketing:All Marketing:Outback Competitors:Toyota_Kluger:Melbourne:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Toyota_Kluger_AWD-Retail_Melbourne_Television_HSV7_Metropolitan_Television,,AWDRetail_Melbourne_Television_HSV7,AWDRetail_Melbourne_Television_HSV7,Client Data:Competitor Sales and Marketing:All Marketing:Outback Competitors:Toyota_Kluger:Melbourne:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64
Toyota_Kluger_AWD-Retail_Melbourne_Television_GTV9_Metropolitan_Television,,AWDRetail_Melbourne_Television_GTV9,AWDRetail_Melbourne_Television_GTV9,Client Data:Competitor Sales and Marketing:All Marketing:Outback Competitors:Toyota_Kluger:Melbourne:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
Toyota_Kluger_AWD_Melbourne_Television_GEM_MELB_Metropolitan_Television,,AWD_Melbourne_Television_GEM_MELB,AWD_Melbourne_Television_GEM_MELB,Client Data:Competitor Sales and Marketing:All Marketing:Outback Competitors:Toyota_Kluger:Melbourne:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toyota_Kluger_AWD_Sydney_Television_TCN9_Metropolitan_Television,,AWD_Sydney_Television_TCN9,AWD_Sydney_Television_TCN9,Client Data:Competitor Sales and Marketing:All Marketing:Outback Competitors:Toyota_Kluger:Sydney:Television,0.5,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0
Toyota_Kluger_AWD_Sydney_Television_GEM_SYD_Metropolitan_Television,,AWD_Sydney_Television_GEM_SYD,AWD_Sydney_Television_GEM_SYD,Client Data:Competitor Sales and Marketing:All Marketing:Outback Competitors:Toyota_Kluger:Sydney:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toyota_Kluger_AWD-Retail_Sydney_Television_Eleven_SYD_Metropolitan_Television,,AWDRetail_Sydney_Television_Eleven_SYD,AWDRetail_Sydney_Television_Eleven_SYD,Client Data:Competitor Sales and Marketing:All Marketing:Outback Competitors:Toyota_Kluger:Sydney:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Toyota_Kluger_AWD-Retail_Sydney_Television_TEN10_Metropolitan_Television,,AWDRetail_Sydney_Television_TEN10,AWDRetail_Sydney_Television_TEN10,Client Data:Competitor Sales and Marketing:All Marketing:Outback Competitors:Toyota_Kluger:Sydney:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
Toyota_Kluger_AWD-Retail_Sydney_Television_GO_SYD_Metropolitan_Television,,AWDRetail_Sydney_Television_GO_SYD,AWDRetail_Sydney_Television_GO_SYD,Client Data:Competitor Sales and Marketing:All Marketing:Outback Competitors:Toyota_Kluger:Sydney:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Toyota_Kluger_AWD_Sydney_Television_7Mate_SYD_Metropolitan_Television,,AWD_Sydney_Television_7Mate_SYD,AWD_Sydney_Television_7Mate_SYD,Client Data:Competitor Sales and Marketing:All Marketing:Outback Competitors:Toyota_Kluger:Sydney:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toyota_Kluger_AWD_Sydney_Television_TEN10_Metropolitan_Television,,AWD_Sydney_Television_TEN10,AWD_Sydney_Television_TEN10,Client Data:Competitor Sales and Marketing:All Marketing:Outback Competitors:Toyota_Kluger:Sydney:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toyota_Kluger_AWD_Sydney_Television_7TWO_SYD_Metropolitan_Television,,AWD_Sydney_Television_7TWO_SYD,AWD_Sydney_Television_7TWO_SYD,Client Data:Competitor Sales and Marketing:All Marketing:Outback Competitors:Toyota_Kluger:Sydney:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toyota_Kluger_AWD-Retail_Sydney_Television_7Mate_SYD_Metropolitan_Television,,AWDRetail_Sydney_Television_7Mate_SYD,AWDRetail_Sydney_Television_7Mate_SYD,Client Data:Competitor Sales and Marketing:All Marketing:Outback Competitors:Toyota_Kluger:Sydney:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Toyota_Kluger_AWD-Retail_Sydney_Television_TCN9_Metropolitan_Television,,AWDRetail_Sydney_Television_TCN9,AWDRetail_Sydney_Television_TCN9,Client Data:Competitor Sales and Marketing:All Marketing:Outback Competitors:Toyota_Kluger:Sydney:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
Toyota_Kluger_AWD-Retail_Sydney_Television_7TWO_SYD_Metropolitan_Television,,AWDRetail_Sydney_Television_7TWO_SYD,AWDRetail_Sydney_Television_7TWO_SYD,Client Data:Competitor Sales and Marketing:All Marketing:Outback Competitors:Toyota_Kluger:Sydney:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Toyota_Kluger_AWD-Retail_Sydney_Television_GEM_SYD_Metropolitan_Television,,AWDRetail_Sydney_Television_GEM_SYD,AWDRetail_Sydney_Television_GEM_SYD,Client Data:Competitor Sales and Marketing:All Marketing:Outback Competitors:Toyota_Kluger:Sydney:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Toyota_Kluger_AWD-Retail_Sydney_Television_ATN7_Metropolitan_Television,,AWDRetail_Sydney_Television_ATN7,AWDRetail_Sydney_Television_ATN7,Client Data:Competitor Sales and Marketing:All Marketing:Outback Competitors:Toyota_Kluger:Sydney:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52
Toyota_Kluger_AWD_Sydney_Television_SBSSYD_Metropolitan_Television,,AWD_Sydney_Television_SBSSYD,AWD_Sydney_Television_SBSSYD,Client Data:Competitor Sales and Marketing:All Marketing:Outback Competitors:Toyota_Kluger:Sydney:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toyota_Kluger_AWD_Sydney_Television_ATN7_Metropolitan_Television,,AWD_Sydney_Television_ATN7,AWD_Sydney_Television_ATN7,Client Data:Competitor Sales and Marketing:All Marketing:Outback Competitors:Toyota_Kluger:Sydney:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toyota_Kluger_AWD-Retail_Sydney_Television_SBSSYD_Metropolitan_Television,,AWDRetail_Sydney_Television_SBSSYD,AWDRetail_Sydney_Television_SBSSYD,Client Data:Competitor Sales and Marketing:All Marketing:Outback Competitors:Toyota_Kluger:Sydney:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
,,,,,,,,,,,,,,,,,,,,,,,
